T恤	ti4 xu4
活动方式	huo2 dong4 fang1 shi4
活动分子	huo2 dong4 fen1 zi3
活动家	huo2 dong4 jia1
活动铅笔	huo2 dong4 qian1 bi3
活动于	huo2 dong4 yu2
活儿	huo2 er2
活佛	huo2 fo2
活该	huo2 gai1
活化	huo2 hua4
活化剂	huo2 hua4 ji4
活化能	huo2 hua4 neng2
活化石	huo2 hua4 shi2
活活	huo2 huo2
活计	huo2 ji4
活结	huo2 jie2
活劳动	huo2 lao2 dong4
活力	huo2 li4
活路	huo2 lu4
活络	huo2 luo4
活埋	huo2 mai2
活门	huo2 men2
活命	huo2 ming4
活泼	huo2 po1
活期	huo2 qi1
活期储蓄存款	huo2 qi1 chu3 xu4 cun2 kuan3
活期存款	huo2 qi1 cun2 kuan3
活塞	huo2 sai1
活塞杆	huo2 sai1 gan3
活塞环	huo2 sai1 huan2
活生生	huo2 sheng1 sheng1
活水	huo2 shui3
活现	huo2 xian4
活象	huo2 xiang4
活性	huo2 xing4
活性染料	huo2 xing4 ran3 liao4
活性炭	huo2 xing4 tan4
活性中心	huo2 xing4 zhong1 xin1
活跃	huo2 yue4
活捉	huo2 zhuo1
活字	huo2 zi4
活字印刷	huo2 zi4 yin4 shua1
伙	huo3
伙伴	huo3 ban4
伙房	huo3 fang2
伙计	huo3 ji5
伙食	huo3 shi2
伙食管理	huo3 shi2 guan3 li3
伙同	huo3 tong2
火	huo3
火把	huo3 ba3
火爆	huo3 bao4
火柴	huo3 chai2
火车	huo3 che1
火车票	huo3 che1 piao4
火车头	huo3 che1 tou2
火车站	huo3 che1 zhan4
火车轴	huo3 che1 zhou2
火电站	huo3 dian4 zhan4
火攻	huo3 gong1
火光	huo3 guang1
火锅	huo3 guo1
火海	huo3 hai3
火红	huo3 hong2
火候	huo3 hou5
火花	huo3 hua1
火花放电	huo3 hua1 fang4 dian4
火花塞	huo3 hua1 sai1
火化	huo3 hua4
火鸡	huo3 ji1
火箭	huo3 jian4
火箭发动机	huo3 jian4 fa1 dong4 ji1
火箭炮	huo3 jian4 pao4
火箭筒	huo3 jian4 tong3
火井	huo3 jing3
火警	huo3 jing3
火炬	huo3 ju4
火炬松	huo3 ju4 song1
火炕	huo3 kang4
火辣辣	huo3 la4 la4
火力	huo3 li4
火力持久	huo3 li4 chi2 jiu3
火力发电	huo3 li4 fa1 dian4
火力发电厂	huo3 li4 fa1 dian4 chang3
火力发电站	huo3 li4 fa1 dian4 zhan4
火龙	huo3 long2
火炉	huo3 lu2
火炉子	huo3 lu2 zi5
火苗	huo3 miao2
火奴鲁鲁	huo3 nu2 lu3 lu3
火炮	huo3 pao4
火盆	huo3 pen2
火器	huo3 qi4
火气	huo3 qi4
火墙	huo3 qiang2
火球	huo3 qiu2
火热	huo3 re4
火山	huo3 shan1
火山爆发	huo3 shan1 bao4 fa4
火山口	huo3 shan1 kou3
火山喷发	huo3 shan1 pen1 fa1
火山岩	huo3 shan1 yan2
火上加油	huo3 shang4 jia1 you2
火烧	huo3 shao1
火舌	huo3 she2
火势	huo3 shi4
火速	huo3 su4
火头	huo3 tou2
火腿	huo3 tui3
火网	huo3 wang3
火线	huo3 xian4
火星	huo3 xing1
火星人	huo3 xing1 ren2
火焰	huo3 yan4
火焰山	huo3 yan4 shan1
火药	huo3 yao4
火油	huo3 you2
火灾	huo3 zai1
火灾保险	huo3 zai1 bao3 xian3
火灾区	huo3 zai1 qu1
火葬	huo3 zang4
火种	huo3 zhong4
获	huo4
获得	huo4 de2
获得者	huo4 de2 zhe3
获利	huo4 li4
获取	huo4 qu3
获胜	huo4 sheng1
获释	huo4 shi4
获悉	huo4 xi1
获益	huo4 yi4
获知	huo4 zhi1
获准	huo4 zhun3
或	huo4
或多或少	huo4 duo1 huo4 shao3
或许	huo4 xu3
或则	huo4 ze2
或者	huo4 zhe3
惑	huo4
霍	huo4
霍彬	huo4 bin1
霍布森	huo4 bu4 sen1
霍布斯	huo4 bu4 si1
霍查	huo4 cha2
霍尔	huo4 er3
霍乱	huo4 luan4
霍桑	huo4 sang1
霍山	huo4 shan1
霍县	huo4 xian4
货	huo4
货币	huo4 bi4
货币单位	huo4 bi4 dan1 wei4
货币工资	huo4 bi4 gong1 zi1
货币流通	huo4 bi4 liu2 tong1
货币流通量	huo4 bi4 liu2 tong1 liang4
货币制度	huo4 bi4 zhi4 du4
货币资本	huo4 bi4 zi1 ben3
货币资金	huo4 bi4 zi1 jin1
货舱	huo4 cang1
货仓	huo4 cang1
货车	huo4 che1
货船	huo4 chuan2
货架	huo4 jia4
货款	huo4 kuan3
货轮	huo4 lun2
货品	huo4 pin3
货色	huo4 se4
货物	huo4 wu4
货物运输保险	huo4 wu4 yun4 shu1 bao3 xian3
货箱	huo4 xiang1
货样	huo4 yang4
货源	huo4 yuan2
货运	huo4 yun4
货栈	huo4 zhan4
货主	huo4 zhu3
祸	huo4
祸根	huo4 gen1
祸国殃民	huo4 guo2 yang1 min2
祸害	huo4 hai4
祸乱	huo4 luan4
祸首	huo4 shou3
击	ji1
击败	ji1 bai4
击毙	ji1 bi4
击沉	ji1 chen2
击穿	ji1 chuan1
击毁	ji1 hui3
击剑	ji1 jian4
击溃	ji1 hui4
击落	ji1 luo4
击破	ji1 po4
击球	ji1 qiu2
击伤	ji1 shang1
击水	ji1 shui3
击退	ji1 tui4
击中	ji1 zhong4
基	ji1
基本	ji1 ben3
基本法	ji1 ben3 fa3
基本功	ji1 ben3 gong1
基本核算单位	ji1 ben3 he2 suan4 dan1 wei4
基本建设	ji1 ben3 jian4 she4
基本建设投资	ji1 ben3 jian4 she4 tou2 zi1
基本建设项目	ji1 ben3 jian4 she4 xiang4 mu4
基本经济规律	ji1 ben3 jing1 ji4 gui1 lu:4
基本粒子	ji1 ben3 li4 zi3
基本路线	ji1 ben3 lu4 xian4
基本矛盾	ji1 ben3 mao2 dun4
基本苗	ji1 ben3 miao2
基本上	ji1 ben3 shang4
基本生产	ji1 ben3 sheng1 chan3
基本生活	ji1 ben3 sheng1 huo2
基本原理	ji1 ben3 yuan2 li3
基本原则	ji1 ben3 yuan2 ze2
基层	ji1 ceng2
基层人民法院	ji1 ceng2 ren2 min2 fa3 yuan4
基层组织	ji1 ceng2 zu3 zhi1
基础	ji1 chu3
基础工业	ji1 chu3 gong1 ye4
基础教育	ji1 chu3 jiao4 yu4
基础科学	ji1 chu3 ke1 xue2
基础课	ji1 chu3 ke4
基础理论	ji1 chu3 li3 lun4
基传	ji1 chuan2
基底	ji1 di3
基底细胞	ji1 di3 xi4 bao1
基地	ji1 di4
基点	ji1 dian3
基调	ji1 diao4
基督	ji1 du1
基督教	ji1 du1 jiao4
基督教派	ji1 du1 jiao4 pai4
基督教徒	ji1 du1 jiao4 tu2
基尔	ji1 er3
基尔霍夫	ji1 er3 huo4 fu1
基肥	ji1 fei2
基辅	ji1 fu3
基干	ji1 gan4
基干民兵	ji1 gan4 min2 bing1
基虹	ji1 hong2
基极	ji1 ji2
基建	ji1 jian4
基金	ji1 jin1
基隆	ji1 long2
基洛夫	ji1 luo4 fu1
基期	ji1 qi1
基棋	ji1 qi2
基仁	ji1 ren2
基色	ji1 se4
基石	ji1 shi2
基数	ji1 shu4
基态	ji1 tai4
基团	ji1 tuan2
基伟	ji1 wei3
基线	ji1 xian4
基辛格	ji1 xin1 ge2
基岩	ji1 yan2
基因	ji1 yin1
基因型	ji1 yin1 xing2
基音	ji1 yin1
基于	ji1 yu2
基质	ji1 zhi4
基准	ji1 zhun3
基准面	ji1 zhun3 mian4
机	ji1
机不可失	ji1 bu4 ke3 shi1
机舱	ji1 cang1
机场	ji1 chang3
机车	ji1 che1
机床	ji1 chuang2
机电	ji1 dian4
机电工业	ji1 dian4 gong1 ye4
机动	ji1 dong4
机动车辆	ji1 dong4 che1 liang4
机动性	ji1 dong4 xing4
机房	ji1 fang2
机耕	ji1 geng1
机耕船	ji1 geng1 chuan2
机耕地面积	ji1 geng1 di4 mian4 ji1
机工	ji1 gong1
机构	ji1 gou4
机关	ji1 guan1
机关报	ji1 guan1 bao4
机关刊物	ji1 guan1 kan1 wu4
机关枪	ji1 guan1 qiang1
机会	ji1 hui4
机会主义	ji1 hui4 zhu3 yi4
机件	ji1 jian4
机井	ji1 jing3
机警	ji1 jing3
机具	ji1 ju4
机玲	ji1 ling2
机灵	ji1 ling2
机率	ji1 lu:4
机密	ji1 mi4
机敏	ji1 min3
机能	ji1 neng2
机票	ji1 piao4
机器	ji1 qi4
机器人	ji1 qi4 ren2
机器人工程	ji1 qi4 ren2 gong1 cheng2
机器设备	ji1 qi4 she4 bei4
机枪	ji1 qiang1
机身	ji1 shen1
机体	ji1 ti3
机务段	ji1 wu4 duan4
机械	ji1 xie4
机械工程	ji1 xie4 gong1 cheng2
机械故障	ji1 xie4 gu4 zhang4
机械化	ji1 xie4 hua4
机械论	ji1 xie4 lun4
机械能	ji1 xie4 neng2
机械师	ji1 xie4 shi1
机械手	ji1 xie4 shou3
机械唯物主义	ji1 xie4 wei2 wu4 zhu3 yi4
机械效率	ji1 xie4 xiao4 lu:4
机械性能	ji1 xie4 xing4 neng2
机械油	ji1 xie4 you2
机械运动	ji1 xie4 yun4 dong4
机型	ji1 xing2
机修厂	ji1 xiu1 chang3
机绣	ji1 xiu4
机要	ji1 yao4
机翼	ji1 yi4
机油	ji1 you2
机遇	ji1 yu4
机缘	ji1 yuan2
机制	ji1 zhi4
机制糖	ji1 zhi4 tang2
机智	ji1 zhi4
机子	ji1 zi5
机组	ji1 zu3
机座	ji1 zuo4
畸	ji1
畸形	ji1 xing2
稽	ji1
稽查	ji1 cha2
积	ji1
积案	ji1 an4
积弊	ji1 bi4
积冰	ji1 bing1
积存	ji1 cun2
积肥	ji1 fei2
积分	ji1 fen1
积分电路	ji1 fen1 dian4 lu4
积极	ji1 ji2
积极分子	ji1 ji2 fen4 zi3
积极性	ji1 ji2 xing4
积极因素	ji1 ji2 yin1 su4
积极作用	ji1 ji2 zuo4 yong4
积久	ji1 jiu3
积聚	ji1 ju4
积劳成疾	ji1 lao2 cheng2 ji2
积累	ji1 lei3
积累基金	ji1 lei2 ji1 jin1
积木	ji1 mu4
积欠	ji1 qian4
积善	ji1 shan4
积水	ji1 shui3
积习	ji1 xi2
积蓄	ji1 xu4
积雪	ji1 xue3
积压	ji1 ya1
积雨云	ji1 yu3 yun2
积怨	ji1 yuan4
积云	ji1 yun2
积攒	ji1 zan3
箕斗	ji1 dou3
肌	ji1
肌肤	ji1 fu1
肌肉	ji1 rou4
肌体	ji1 ti3
饥	ji1
饥饿	ji1 e4
饥寒	ji1 han2
饥寒交迫	ji1 han2 jiao1 po4
饥荒	ji1 huang1
饥渴	ji1 ke3
饥民	ji1 min2
饥馑	ji1 jin3
迹	ji1
迹地	ji1 di4
迹象	ji1 xiang4
激	ji1
激昂	ji1 ang2
激变	ji1 bian4
激波	ji1 bo1
激磁	ji1 ci2
激荡	ji1 dang4
激动	ji1 dong4
激动人心	ji1 dong4 ren2 xin1
激发	ji1 fa1
激发出	ji1 fa1 chu1
激发起	ji1 fa1 qi3
激发态	ji1 fa4 tai4
激愤	ji1 fen4
激光	ji1 guang1
激光唱盘	ji2 guang1 chang4 pan2
激光唱片	ji2 guang1 chang4 pian4
激光器	ji1 guang1 qi4
激化	ji1 hua4
激活	ji1 huo2
激进	ji1 jin4
激励	ji1 li4
激烈	ji1 lie4
激烈竞争	ji1 lie4 jing4 zheng1
激流	ji1 liu2
激怒	ji1 nu4
激起	ji1 qi3
激情	ji1 qing2
激素	ji1 su4
激越	ji1 yue4
激增	ji1 zeng1
激战	ji1 zhan4
讥	ji1
讥讽	ji1 feng3
讥笑	ji1 xiao4
鸡	ji1
鸡蛋	ji1 dan4
鸡脚	ji1 jiao3
鸡毛	ji1 mao2
鸡毛蒜皮	ji1 mao2 suan4 pi2
鸡肉	ji1 rou4
鸡舍	ji1 she4
鸡尾酒	ji1 wei3 jiu3
鸡窝	ji1 wo1
鸡西	ji1 xi1
鸡子	ji1 zi5
姬	ji1
绩	ji1
缉捕	ji1 bu3
缉拿	ji1 na2
缉私	ji1 si1
吉	ji2
吉安	ji2 an1
吉布提	ji2 bu4 ti2
吉尔	ji2 er3
吉尔吉斯斯坦	ji2 er3 ji2 si1 si1 tan3
吉利	ji2 li4
吉林	ji2 lin2
吉林大学	ji2 lin2 da4 xue2
吉林省	ji2 lin2 sheng3
吉隆坡	ji2 long2 po1
吉米卡特	ji2 mi3 ka3 te4
吉普	ji2 pu3
吉普车	ji2 pu3 che1
吉庆	ji2 qing4
吉他	ji2 ta1
吉它	ji2 ta1
吉屋	ji2 wu1
吉祥	ji2 xiang2
吉祥物	ji2 xiang2 wu4
吉哲	ji2 zhe2
极	ji2
极板	ji2 ban3
极大	ji2 da4
极地	ji2 di4
极点	ji2 dian3
极度	ji2 du4
极端	ji2 duan1
极光	ji2 guang1
极化	ji2 hua4
极间电容	ji2 jian1 dian4 rong2
极力	ji2 li4
极目	ji2 mu4
极谱	ji2 pu3
极其	ji2 qi2
极权	ji2 quan2
极盛	ji2 cheng2
极为	ji2 wei2
极限	ji2 xian4
极小	ji2 xiao3
极性	ji2 xing4
极性键	ji2 xing4 jian4
极右	ji2 you4
极左	ji2 zuo3
棘轮	ji2 lun2
棘手	ji2 shou3
棘手问题	ji2 shou3 wen4 ti2
棘爪	ji2 zhua3
辑	ji2
辑录	ji2 lu4
辑他	ji2 ta1
籍	ji2
籍贯	ji2 guan4
集	ji2
集材	ji2 cai2
集尘	ji2 chen2
集成	ji2 cheng2
集成电路	ji2 cheng2 dian4 lu4
集大成	ji2 da4 cheng2
集电极	ji2 dian4 ji2
集合	ji2 he2
集会	ji2 hui4
集结	ji2 jie2
集锦	ji2 jin3
集聚	ji2 ju4
集权	ji2 quan2
集群	ji2 qun2
集散	ji2 san4
集散地	ji2 san4 di4
集市	ji2 shi4
集水	ji2 shui3
集体	ji2 ti3
集体创作	ji2 ti3 chuang4 zuo4
集体福利	ji2 ti3 fu2 li4
集体化	ji2 ti3 hua4
集体经济	ji2 ti3 jing1 ji4
集体利益	ji2 ti3 li4 yi4
集体领导	ji2 ti3 ling3 dao3
集体农庄	ji2 ti3 nong2 zhuang1
集体所有制	ji2 ti3 suo3 you3 zhi4
集体舞	ji2 ti3 wu3
集体主义	ji2 ti3 zhu3 yi4
集团	ji2 tuan2
集团军	ji2 tuan2 jun1
集贤	ji2 xian2
集训	ji2 xun4
集邮	ji2 you2
集约	ji2 yue1
集约经营	ji2 yue1 jing1 ying2
集镇	ji2 zhen4
集中	ji2 zhong1
集中反映	ji2 zhong1 fan3 ying4
集中营	ji2 zhong1 ying2
集注	ji2 zhu4
集装箱	ji2 zhuang1 xiang1
集资	ji2 zi1
集资方	ji2 zi1 fang1
集子	ji2 zi5
及	ji2
及第	ji2 di4
及格	ji2 ge2
及时	ji2 shi2
及早	ji2 zao3
及至	ji2 zhi4
急	ji2
急变	ji2 bian4
急病	ji2 bing4
急促	ji2 cu4
急电	ji2 dian4
急急忙忙	ji2 ji5 mang2 mang2
急进	ji2 jin4
急救	ji2 jiu4
急剧	ji2 ju4
急流	ji2 liu2
急忙	ji2 mang2
急迫	ji2 po4
急起直追	ji2 qi3 zhi2 zhui1
急切	ji2 qie4
急速	ji2 su4
急先锋	ji2 xian1 feng1
急行军	ji2 xing2 jun1
急性	ji2 xing4
急性病	ji2 xing4 bing4
急性子	ji2 xing4 zi5
急需	ji2 xu1
急用	ji2 yong4
急于	ji2 yu2
急躁	ji2 zao4
急诊	ji2 zhen3
急转直下	ji2 zhuan3 zhi2 xia4
急遽	ji2 ju4
疾	ji2
疾病	ji2 bing4
疾步	ji2 bu4
疾驰	ji2 chi2
疾风	ji2 feng1
疾苦	ji2 ku3
疾驶	ji2 shi3
汲取	ji2 qu3
即	ji2
即便	ji2 bian4
即或	ji2 huo4
即将	ji2 jiang1
即将到来	ji2 jiang1 dao4 lai2
即今	ji2 jin1
即景	ji2 jing3
即可	ji2 ke3
即可使用	ji2 ke3 shi3 yong4
即刻	ji2 ke4
即令	ji2 ling4
即日	ji2 ri4
即溶咖啡	ji2 rong2 ka1 fei1
即时	ji2 shi2
即使	ji2 shi3
即位	ji2 wei4
即席	ji2 xi2
即兴	ji2 xing4
嫉妒	ji2 du4
级	ji2
级别	ji2 bie2
级差地租	ji2 cha1 di4 zu1
级进杂交	ji2 jin4 za2 jiao1
级数	ji2 shu4
挤	ji3
挤出	ji3 chu1
挤掉	ji3 diao4
挤兑	ji3 dui4
挤满	ji3 man3
挤压	ji3 ya1
几	ji1
几	ji3
几百	ji3 bai3
几度	ji3 du4
几分	ji3 fen1
几分得意	ji3 fen1 de2 yi4
几分色彩	ji3 fen1 se4 cai3
几号	ji3 hao4
几何	ji3 he2
几何级数	ji3 he2 ji2 shu4
几何体	ji3 he2 ti3
几何图形	ji3 he2 tu2 xing2
几何学	ji3 he2 xue2
几乎	ji1 hu1
几几	ji1 ji1
几率	ji1 lu:4
几内亚	ji3 nei4 ya4
几内亚比绍	ji3 nei4 ya4 bi3 shao4
几十	ji3 shi2
几十万	ji3 shi2 wan4
几时	ji3 shi2
几岁	ji3 sui4
几香	ji3 xiang1
几许	ji3 xu3
脊	ji3
脊背	ji2 bei1
脊梁	ji3 liang5
脊梁骨	ji2 liang5 gu3
脊髓	ji3 sui3
脊索	ji3 suo3
脊柱	ji3 zhu4
脊椎	ji3 zhui1
脊椎动物	ji3 zhui1 dong4 wu4
脊椎骨	ji3 zhui1 gu3
己	ji3
己二酸	ji3 er4 suan1
己方	ji3 fang1
己任	ji3 ren4
蓟县	ji4 xian4
技	ji4
技法	ji4 fa3
技工	ji4 gong1
技击	ji4 ji1
技能	ji4 neng2
技巧	ji4 qiao3
技巧运动	ji4 qiao3 yun4 dong4
技师	ji4 shi1
技术	ji4 shu4
技术革命	ji4 shu4 ge2 ming4
技术革新	ji4 shu4 ge2 xin1
技术人员	ji4 shu4 ren2 yuan2
技术水平	ji4 shu4 shui3 ping2
技术性	ji4 shu4 xing4
技术性能	ji4 shu4 xing4 neng2
技术援助	ji4 shu4 yuan2 zhu4
技术员	ji4 shu4 yuan2
技术指导	ji4 shu4 zhi3 dao3
技术装备	ji4 shu4 zhuang1 bei4
技校	ji4 xiao4
技艺	ji4 yi4
季	ji4
季度	ji4 du4
季风	ji4 feng1
季节	ji4 jie2
季节差价	ji4 jie2 cha1 jia4
季节性	ji4 jie1 xing4
季军	ji4 jun1
季岭	ji4 ling3
伎	ji4
伎俩	ji4 liang3
祭	ji4
祭拜	ji4 bai4
祭典	ji4 dian3
祭奠	ji4 dian4
祭酒	ji4 jiu3
祭坛	ji4 tan2
祭天	ji4 tian1
祭祖	ji4 zu3
祭祀	ji4 si4
剂	ji4
剂量	ji4 liang4
济	ji4
济成	ji4 cheng2
济大	ji4 da4
济济	ji3 ji3
济济一堂	ji3 ji3 yi4 tang2
济南	ji3 nan2
济南大学	ji3 nan2 da4 xue2
济宁	ji4 ning2
济贫	ji4 pin2
寄	ji4
寄存	ji4 cun2
寄存器	ji4 cun2 qi4
寄到	ji4 dao4
寄放	ji4 fang4
寄来	ji4 lai2
寄生	ji4 sheng1
寄生虫	ji4 sheng1 chong2
寄生物	ji4 sheng1 wu4
寄宿	ji4 su4
寄托	ji4 tuo1
寄养	ji4 yang3
寄予	ji4 yu3
寄语	ji4 yu3
寄寓	ji4 yu4
寄主	ji4 zhu3
寂	ji4
寂静	ji4 jing4
寂寞	ji4 mo4
计	ji4
计策	ji4 ce4
计程车	ji4 cheng2 che1
计酬	ji4 chou2
计分表	ji4 fen1 biao3
计划	ji4 hua4
计划经济	ji4 hua4 jing1 ji4
计划生育	ji4 hua4 sheng1 yu4
计划委员会	ji4 hua4 wei3 yuan2 hui4
计划性	ji4 hua4 xing4
计件	ji4 jian4
计件工资	ji4 jian4 gong1 zi1
计较	ji4 jiao4
计量	ji4 liang4
计谋	ji4 mou2
计时	ji4 shi2
计时工资	ji4 shi2 gong1 zi1
计时器	ji4 shi2 qi4
计时赛	ji4 shi2 sai4
计数	ji4 shu4
计算	ji4 suan4
计算尺	ji4 suan4 che3
计算机	ji4 suan4 ji1
计算机化	ji4 suan4 ji1 hua4
计算所	ji4 suan4 suo3
计算中心	ji4 suan4 zhong1 xin1
计委	ji4 wei3
计议	ji4 yi4
记	ji4
记不清	ji4 bu4 qing1
记得	ji4 de5
记分	ji4 fen1
记工	ji4 gong1
记工本	ji4 gong1 ben3
记功	ji4 gong1
记过	ji4 guo4
记号	ji4 hao4
记录	ji4 lu4
记录器	ji4 lu4 qi4
记名	ji4 ming2
记念	ji4 nian4
记谱	ji4 pu3
记取	ji4 qu3
记事	ji4 shi4
记述	ji4 shu4
记性	ji4 xing4
记忆	ji4 yi4
记忆力	ji4 yi4 li4
记忆犹新	ji4 yi4 you2 xin1
记载	ji4 zai3
记帐	ji4 zhang4
记者	ji4 zhe3
记者团	ji4 zhe3 tuan2
记者招待会	ji4 zhe3 zhao1 dai4 hui4
记住	ji4 zhu4
既	ji4
既成事实	ji4 cheng2 shi4 shi2
既得利益	ji4 de2 li4 yi4
既定	ji4 ding4
既而	ji4 er2
既然	ji4 ran2
既然如此	ji4 ran2 ru2 ci3
既是	ji4 shi4
既有	ji4 you3
忌	ji4
忌讳	ji4 hui4
际	ji4
妓	ji4
妓女	ji4 nu:3
妓院	ji4 yuan4
继	ji4
继承	ji4 cheng2
继承法	ji4 cheng2 fa3
继承权	ji4 cheng2 quan2
继承人	ji4 cheng2 ren2
继电器	ji4 dian4 qi4
继而	ji4 er2
继而是	ji4 er2 shi4
继福	ji4 fu2
继民	ji4 min2
继母	ji4 mu3
继任	ji4 ren4
继任人	ji4 ren4 ren2
继往开来	ji4 wang3 kai1 lai2
继武	ji4 wu3
继续	ji4 xu4
继续不断	ji4 xu4 bu2 duan4
继续革命	ji4 xu4 ge2 ming4
纪	ji4
纪检	ji4 jian3
纪录	ji4 lu4
纪录片	ji4 lu4 pian1
纪录影片	ji4 lu4 ying3 pian1
纪律	ji4 lu:4
纪律处分	ji4 lu:4 chu3 fen4
纪律委员会	ji4 lu:4 wei3 yuan2 hui4
纪律性	ji4 lu:4 xing4
纪年	ji4 nian2
纪念	ji4 nian4
纪念碑	ji4 nian4 bei1
纪念币	ji4 nian4 bi4
纪念册	ji4 nian4 ce4
纪念馆	ji4 nian4 guan3
纪念品	ji4 nian4 pin3
纪念品商店	ji4 nian4 pin3 shang1 dian4
纪念日	ji3 nian4 ri4
纪念塔	ji4 nian4 ta3
纪念堂	ji4 nian4 tang2
纪念邮票	ji4 nian4 you2 piao4
纪念章	ji4 nian4 zhang1
纪实	ji4 shi2
纪委	ji4 wei3
纪要	ji4 yao4
纪元	ji4 yuan2
纪原	ji4 yuan2
纪云	ji4 yun2
纪中	ji4 zhong1
嘉	jia1
嘉宾	jia1 bin1
嘉诚	jia1 cheng2
嘉定	jia1 ding4
嘉禾	jia1 he2
嘉慧	jia1 hui4
嘉嘉	jia1 jia1
嘉奖	jia1 jiang3
嘉靖	jia1 jing4
嘉勒	jia1 lei1
嘉雷	jia1 lei2
嘉庆	jia1 qing4
嘉锡	jia1 xi1
嘉兴	jia1 xing1
嘉易	jia1 yi4
嘉玉	jia1 yu4
枷锁	jia1 suo3
夹	jia1
夹	jia2
夹板	jia1 ban3
夹层	jia1 ceng2
夹带	jia1 dai4
夹道	jia1 dao4
夹道欢迎	jia1 dao4 huan1 ying2
夹攻	jia1 gong1
夹击	jia1 ji1
夹角	jia1 jiao3
夹具	jia1 ju4
夹克	jia1 ke4
夹心	jia1 xin1
夹杂	jia1 za2
夹子	jia1 zi5
佳	jia1
佳话	jia1 hua4
佳节	jia1 jie2
佳木斯	jia1 mu4 si1
佳人	jia1 ren2
佳音	jia1 yin1
佳作	jia1 zuo4
家	jia1
家	jia5
家宝	jia1 bao3
家财	jia1 cai2
家蚕	jia1 can2
家产	jia1 chan3
家常	jia1 chang2
家长	jia1 zhang3
家长制	jia1 zhang3 zhi4
家当	jia1 dang4
家底	jia1 di3
家法	jia1 fa3
家访	jia1 fang3
家父	jia1 fu4
家鸽	jia1 ge1
家虹	jia1 hong2
家伙	jia1 huo3
家家	jia1 jia1
家家户户	jia1 jia1 hu4 hu4
家教	jia1 jiao4
家境	jia1 jing4
家居	jia1 ju1
家具	jia1 ju4
家具店	jia1 ju4 dian4
家眷	jia1 juan4
家口	jia1 kou3
家里	jia1 li3
家里人	jia1 li3 ren2
家良	jia1 liang2
家门	jia1 men2
家奴	jia1 nu2
家破人亡	jia1 po4 ren2 wang2
家谱	jia1 pu3
家祁	jia1 qi2
家禽	jia1 qin2
家人	jia1 ren2
家山	jia1 shan1
家史	jia1 shi3
家世	jia1 shi4
家事	jia1 shi4
家室	jia1 shi4
家书	jia1 shu1
家属	jia1 shu3
家庭	jia1 ting2
家庭副业	jia1 ting2 fu4 ye4
家庭妇女	jia1 ting2 fu4 nu:3
家庭教育	jia1 ting2 jiao4 yu4
家庭生活	jia1 ting2 sheng1 huo2
家庭手工业	jia1 ting2 shou3 gong1 ye4
家庭院落	jia1 ting2 yuan4 luo4
家庭主妇	jia1 ting2 zhu3 fu4
家庭作业	jia1 ting2 zuo4 ye4
家兔	jia1 tu4
家务	jia1 wu4
家乡	jia1 xiang1
家乡人	jia1 xiang1 ren2
家乡人民	jia1 xiang1 ren2 min2
家小	jia1 xiao3
家信	jia1 xin4
家畜	jia1 chu4
家学	jia1 xue2
家业	jia1 ye4
家用	jia1 yong4
家喻户晓	jia1 yu4 hu4 xiao3
家园	jia1 yuan2
家政	jia1 zheng4
家族	jia1 zu2
家瑛	jia1 ying1
家璇	jia1 xuan2
加	jia1
加班	jia1 ban1
加倍	jia1 bei4
加大	jia1 da4
加大油门	jia1 da4 you2 men2
加德满都	jia1 de2 man3 du1
加点	jia1 dian3
加尔各答	jia1 er3 ge4 da2
加法	jia1 fa3
加高	jia1 gao1
加工	jia1 gong1
加工场	jia1 gong1 chang3
加工厂	jia1 gong1 chang3
加工订货	jia1 gong1 ding4 huo4
加工工业	jia1 gong1 gong1 ye4
加工技术	jia1 gong1 ji4 shu4
加工品	jia1 gong1 pin3
加工业	jia1 gong1 ye4
加工业务	jia1 gong1 ye4 wu4
加工硬化	jia1 gong1 ying4 hua4
加工余量	jia1 gong1 yu2 liang4
加固	jia1 gu4
加号	jia1 hao4
加厚	jia1 hou4
加急	jia1 ji2
加紧	jia1 jin3
加紧工作	jia1 jin3 gong1 zuo4
加聚反应	jia1 ju4 fan3 ying4
加剧	jia1 ju4
加快	jia1 kuai4
加快速度	jia1 kuai4 su4 du4
加宽	jia1 kuan1
加拉加斯	jia1 la1 jia1 si1
加勒比	jia1 le4 bi3
加勒比海	jia1 le4 bi3 hai3
加里宁	jia1 li3 ning2
加利福尼亚	jia1 li4 fu2 ni2 ya4
加利福尼亚大学	jia1 li4 fu2 ni2 ya4 da4 xue2
加利福尼亚理工学院	jia1 li4 fu2 ni2 ya4 li3 gong1 xue2 yuan4
加利福尼亚州立大学	jia1 li4 fu2 ni2 ya4 zhou1 li4 da4 xue2
加力	jia1 li4
加力燃烧室	jia1 li4 ran2 shao1 shi4
加料	jia1 liao4
加仑	jia1 lun2
加罗林群岛	jia1 luo2 lin2 qun2 dao3
加盟	jia1 meng2
加盟共和国	jia1 meng2 gong4 he2 guo2
加密	jia1 mi4
加冕	jia1 mian3
加拿大	jia1 na2 da4
加拿大卡	jia1 na2 da4 ka3
加纳	jia1 na4
加尼	jia1 ni2
加尼耶夫	jia1 ni2 ye1 fu1
加拈	jia1 nian1
加捻	jia1 nian3
加蓬	jia1 peng2
加强	jia1 qiang2
加氢	jia1 qing1
加氢精制	jia1 qing1 jing1 zhi4
